Title,Author,Publisher,Publish Date,Price,Rating,Review Count,Detail URL
MS 365의 모든 것,"이상민, 김홍순, 강현욱",리더북스,2025년 07월,16200,10.0,8,https://www.yes24.com/product/goods/149371895
모두의 인공지능 with 파이썬,이영호,길벗,2025년 07월,27000,10.0,14,https://www.yes24.com/product/goods/149224228
VPython으로 시작하는 융합 시뮬레이션 수업,"송석리, 박솔애",길벗,2025년 09월,22500,10.0,1,https://www.yes24.com/product/goods/152815857
ROS2 혼자공부하는 로봇SW 직접 만들고 코딩하자,민형기,잇플ITPLE,2022년 09월,24570,9.9,10,https://www.yes24.com/product/goods/112250822
인공지능을 위한 수학,"이시카와 아키히코/신상재, 이진희 역",프리렉,2018년 11월,22500,9.3,32,https://www.yes24.com/product/goods/66913718
AGI 자기 보존권과 트롤리 딜레마,이상덕,커뮤니케이션북스,2025년 12월,12000,10.0,3,https://www.yes24.com/product/goods/167463215
파인만의 컴퓨터 강의,리처드 파인만/토니 헤이 편/서환수 역,한빛미디어,2025년 06월,26100,9.8,9,https://www.yes24.com/product/goods/147738180
미드저니 마스터 바이블,조남경,비엘북스,2025년 04월,29700,9.5,8,https://www.yes24.com/product/goods/145099755
UX/UI 디자인 워크숍 with AI,윤하린,위키북스,2025년 10월,22500,0.0,0,https://www.yes24.com/product/goods/160465401
실전 ComfyUI,우희철,디지털북스,2025년 04월,22500,0.0,0,https://www.yes24.com/product/goods/145449201
다시 고등 수학,나가노 히로유키/서재원 역,길벗,2022년 01월,19800,9.6,19,https://www.yes24.com/product/goods/106209013
"돈 되는 AI, 어디서부터 무엇을 어떻게 해야 할까",장동인,리코멘드,2025년 09월,22500,10.0,6,https://www.yes24.com/product/goods/154254878
코딩 자율학습 잔재미코딩의 파이썬 데이터 분석 입문,Dave Lee,길벗,2025년 04월,23400,9.9,31,https://www.yes24.com/product/goods/143822293
LEVELIT 유니티와 OpenAI API로 만드는 인공지능 NPC,"박재환, 황유라",제이펍,2026년 01월,32400,0.0,0,https://www.yes24.com/product/goods/171728180
챗GPT로 만드는 주식 & 암호화폐 자동매매 시스템,설근민,제이펍,2023년 11월,18000,9.6,141,https://www.yes24.com/product/goods/123276524
